,HITId,CORRECT,INCORRECT,Input1ID,Input2ID,Input3ID,HITTypeId,FleissKappa
0,1,2,1,wd:Q11621,wdt:P2142,792910554,7QT,0.236
1,2,3,0,wd:Q603545,wdt:P2142,4300000,7QT,0.236
2,3,2,1,wd:Q16911843,wdt:P577,2014-01-18,7QT,0.236
3,4,0,3,wd:Q132863,wdt:P2142,969023261,7QT,0.236
4,5,3,0,wd:Q1628022,wdt:P577,1951-01-01,7QT,0.236
5,6,1,2,wd:Q48313910,wdt:P577,2018-02-24,7QT,0.236
6,7,2,1,wd:Q171300,wdt:P2142,267000000,7QT,0.236
7,8,0,3,wd:Q217010,wdt:P2142,698491347,7QT,0.236
8,9,0,3,wd:Q4993462,wdt:P577,2008-08-29,7QT,0.236
9,10,1,2,wd:Q7033842,wdt:P577,1996-06-01,7QT,0.236
10,11,2,1,wd:Q1339195,ddis:indirectSubclassOf,wd:Q27096213,7QT,0.236
11,12,3,0,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,7QT,0.236
12,13,2,1,wd:Q61928601,ddis:indirectSubclassOf,wd:Q95074,7QT,0.236
13,14,0,3,wd:Q1004,ddis:indirectSubclassOf,wd:Q47461344,7QT,0.236
14,15,3,0,wd:Q8275050,ddis:indirectSubclassOf,wd:Q47461344,7QT,0.236
15,16,2,1,wd:Q17710986,ddis:indirectSubclassOf,wd:Q7725310,7QT,0.236
16,17,1,2,wd:Q16101952,ddis:indirectSubclassOf,wd:Q95074,7QT,0.236
17,18,3,0,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,7QT,0.236
18,19,1,2,wd:Q15715406,ddis:indirectSubclassOf,wd:Q27096213,7QT,0.236
19,20,1,2,wd:Q15239622,ddis:indirectSubclassOf,wd:Q27096213,7QT,0.236
20,21,1,2,wd:Q708135,ddis:indirectSubclassOf,wd:Q618779,7QT,0.236
21,22,1,2,wd:Q1720855,wdt:P577,2010-10-01,8QT,0.04
22,23,0,3,wd:Q598752,wdt:P577,2001-01-01,8QT,0.04
23,24,1,2,wd:Q427386,wdt:P2142,176997186,8QT,0.04
24,25,2,1,wd:Q321561,wdt:P577,1982-01-01,8QT,0.04
25,26,0,3,wd:Q1410031,wdt:P577,2010-10-01,8QT,0.04
26,27,1,2,wd:Q20001199,wdt:P2142,863756050,8QT,0.04
27,28,3,0,wd:Q15055043,wdt:P2142,511200000,8QT,0.04
28,29,0,3,wd:Q639070,wdt:P161,wd:Q2865083,8QT,0.04
29,30,3,0,wd:Q23999890,wdt:P577,2015-01-05,8QT,0.04
30,31,2,1,wd:Q841233,wdt:P2142,10696220,8QT,0.04
31,32,1,2,wd:Q2893887,wdt:P161,wd:Q105825,8QT,0.04
32,33,2,1,wd:Q19803136,wdt:P577,2015-06-27,8QT,0.04
33,34,0,3,wd:Q1039395,wdt:P161,wd:Q17386547,8QT,0.04
34,35,1,2,wd:Q202211,wdt:P495,wd:Q30,8QT,0.04
35,36,1,2,wd:Q28974159,wdt:P750,wd:Q907311,8QT,0.04
36,37,2,1,wd:Q326914,wdt:P136,wd:Q8261,8QT,0.04
37,38,1,2,wd:Q885281,wdt:P161,wd:Q3087184,8QT,0.04
38,39,2,1,wd:Q814781,wdt:P344,wd:Q40087803,8QT,0.04
39,40,1,2,wd:Q6548158,wdt:P136,wd:Q33999,8QT,0.04
40,41,1,2,wd:Q1123629,wdt:P725,wd:Q211040,8QT,0.04
41,42,1,2,wd:Q1780602,wdt:P921,wd:Q295093,9QT,0.199
42,43,0,3,wd:Q610633,wdt:P2554,wd:Q1700810,9QT,0.199
43,44,0,3,wd:Q2188914,wdt:P161,wd:Q2416526,9QT,0.199
44,45,1,2,wd:Q1032889,wdt:P58,wd:Q4762311,9QT,0.199
45,46,0,3,wd:Q209538,wdt:P3650,wd:Q28732983,9QT,0.199
46,47,0,3,wd:Q31202708,wdt:P3092,wd:Q4805527,9QT,0.199
47,48,2,1,wd:Q2576243,wdt:P364,wd:Q1860,9QT,0.199
48,49,2,1,wd:Q4335275,wdt:P520,wd:Q52382294,9QT,0.199
49,50,3,0,wd:Q931557,wdt:P750,wd:Q80948336,9QT,0.199
50,51,3,0,wd:Q2235250,wdt:P161,wd:Q599673,9QT,0.199
51,52,3,0,wd:Q696646,wdt:P3174,wd:Q1315917,9QT,0.199
52,53,2,1,wd:Q6782400,wdt:P945,wd:Q17,9QT,0.199
53,54,2,1,wd:Q6538,wdt:P119,wd:Q1792,9QT,0.199
54,55,2,1,wd:Q9192,wdt:P276,wd:Q833,9QT,0.199
55,56,2,1,wd:Q10623856,wdt:P20,wd:Q2096,9QT,0.199
56,57,2,1,wd:Q223596,wdt:P1431,wd:Q457180,9QT,0.199
57,58,0,3,wd:Q943992,wdt:P161,wd:Q160432,9QT,0.199
58,59,2,1,wd:Q1893555,wdt:P272,wd:Q48784114,9QT,0.199
59,60,2,1,wd:Q21060270,wdt:P27,wd:Q916,9QT,0.199
60,61,2,1,wd:Q1288004,wdt:P1412,wd:Q13330,9QT,0.199
